b'Como cadastro uma encomenda?'  [predicted:  ok ; correct:  help ]
b'Entrega'  [predicted:  ok ; correct:  get ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Encomenda'  [predicted:  ok ; correct:  get ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  ok ; correct:  help ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  ok ; correct:  get ]
b'Quero rastrear uma encomenda'  [predicted:  ok ; correct:  get ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'adeus'  [predicted:  ok ; correct:  bye ]
b'Como cadastro?'  [predicted:  ok ; correct:  help ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'descadastrar'  [predicted:  ok ; correct:  delete ]
b'Como cadastro minha encomenda?'  [predicted:  ok ; correct:  help ]
b'Minhas encomendas'  [predicted:  ok ; correct:  get ]
b'adicionar'  [predicted:  ok ; correct:  add ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  ok ; correct:  help ]
b'adicionar objeto'  [predicted:  ok ; correct:  add ]
b'Cadastrar uma nova encomenda'  [predicted:  ok ; correct:  add ]
b'cad\xc3\xaa'  [predicted:  ok ; correct:  get ]
b'Quero rastrear um pacote'  [predicted:  ok ; correct:  get ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'cad\xc3\xaa minha encomenda'  [predicted:  ok ; correct:  get ]
b'Me ajuda'  [predicted:  ok ; correct:  help ]
b'Listar comandos'  [predicted:  ok ; correct:  help ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'deletar'  [predicted:  ok ; correct:  delete ]
b'Meus itens'  [predicted:  ok ; correct:  get ]
TIME:  0.02535104751586914
SCORE:  3 / 30  ( 0.1 )
b'Consulta'  [predicted:  cancel ; correct:  get ]
b'o que eu devo fazer?'  [predicted:  cancel ; correct:  help ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'N\xc3\xa3o'  [predicted:  cancel ; correct:  cancel ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Gostaria de retirar'  [predicted:  cancel ; correct:  delete ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  cancel ; correct:  help ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  cancel ; correct:  help ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'Obrigada'  [predicted:  cancel ; correct:  thanks ]
b'C\xc3\xb3digo'  [predicted:  cancel ; correct:  get ]
