Where can I see The Prime Ministers: The Pioneers  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to eat in Montana on 10/22/2030  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
humidity in Olvey New Hampshire  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the Ghostly Swim 2 book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
show me the schedule for Rat Rod Rockers!  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get hotter around elevenses in KS?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Will it get chillier in Sinclair in 8 hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is it cloudy in the same area of Lynn Shore Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need the wather for next week in the Philippines  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Open youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
play the Discografia de The Pretty Reckless saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
me, maggie and ellen want to eat at Lentil as Anything  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Start playing my Disney playlist.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please start playing some thirties theme music.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will it be nice here and in the same area  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
will it be freezing in New Ringgold Nebraska  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I need seats for 6 at a place in AK  [predicted:  RateBook ; correct:  BookRestaurant ]
add September to winter music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please call and reserve seating for march 6 at a diner in Kyrgyzstan  [predicted:  RateBook ; correct:  BookRestaurant ]
Find me the East Asia Image Collection movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
in 17 minutes  will it be foggy in Songimvelo Game Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Sort eighties ep from the last  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
show freezing forcast now within the same area in North Dakota  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Will it be freezing in New Preston Venezuela?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets go and take elsa and I to Westhampton Beach in 1 hour to the american chinese cuisine at the tea house  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
move Josiah Leming to te quiero list  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Please add james house to bleeps & bloops  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can I get the showtimes for The Scarlet and the Black  at 12 pm.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like for this song to be added to the new waltz.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
