I want to hear any top five music from Gene Autry  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Get me Kiss the Crystal Flake  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is it going to be nice at 6 AM at Chippewa Lake  [predicted:  RateBook ; correct:  GetWeather ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need the book called ANAK  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
look for the book titled Iranian Journal of Fuzzy Systems  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is the painting Forever Malcolm Young?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will there be a storm on Christmas Day in my current place?  [predicted:  RateBook ; correct:  GetWeather ]
Book PM Park, Clear Lake, Iowa at 5 am for 6 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
party for 2 in Cleveland  [predicted:  GetWeather ; correct:  BookRestaurant ]
Are any films play at the Santikos Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Include the album by Arthur Rhames in Urban Poet  [predicted:  GetWeather ; correct:  AddToPlaylist ]
play The Widow of Saint-Pierre saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
my step aunt and I want to go cheese fries at the tavern  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you search the book, Paris - When It Sizzles?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
my jazz for loving couples needs more push the button  [predicted:  GetWeather ; correct:  AddToPlaylist ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
ad Czarna dziewczyna to instrumental madness playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Can I get the showtimes for Fit for a King?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up Three Fantastic Dances  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need a book called Student Demonstration Time  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find a movie called Greatest Time of Year.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Everybody Wins trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is this film going to be at Malco Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Looking for a song with the title of Live at the Kings Center  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Freud: A Life for Our Time deserves a solid 4  [predicted:  GetWeather ; correct:  RateBook ]
Please make reservations for me and my roommate somewhere in Bouvet Island  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I need seats for 6 at a place in AK  [predicted:  RateBook ; correct:  BookRestaurant ]
I want to take me and my momy to eat in Flossmoor  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will there be a lot of sun in Dry Prong Somalia at 5 pm  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to see weather conditions for Ennis.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where to buy Education for Chemical Engineers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
me, maggie and ellen want to eat at Lentil as Anything  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
therese, clara and I want to go to the Tennessee Ridge  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Book a bakery at zero o'clock for 5 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you pull up Channel M News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play something on my Classic Jazz Funk playlist on Zvooq  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Book the Last Exit on Brooklyn 5 hours from now for one person.  [predicted:  RateBook ; correct:  BookRestaurant ]
Play a top five Jonny Buckland symphony from around 1989  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  GetWeather ; correct:  RateBook ]
show chillier conditions next week in Camp Bird  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to the latest ballad from Ira Losco  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is it chilly anywhere faraway from my current place  [predicted:  RateBook ; correct:  GetWeather ]
what film to see at ArcLight Hollywood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is Ce cher intrus at IMAX Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Search for Ayumi Hamasaki Countdown Live 2007–2008 Anniversary song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
me, bobbie and colette want to go to The Peak Lookout in Felicity  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
forecase for Ohio in twenty one hours and one second  [predicted:  RateBook ; correct:  GetWeather ]
where is No Sleep til Shanghai showing in three hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it be hotter in my current place in six weeks from now  [predicted:  RateBook ; correct:  GetWeather ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book the tea house on North River  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you let me know where I can watch The Nest?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
some me a Healthy picture  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
my sons and I want to dine at The Water Club in Georgia  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I need seats for 6 at CHAR No.4 in Georgia  [predicted:  RateBook ; correct:  BookRestaurant ]
Can you locate the work, Warlock 2: The Exiled?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate this book a five  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to see the book, The Mailroom: Hollywood History from the Bottom Up  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to visit a pizzeria with a pool at fourteen o'clock.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
me and edith want to eat in Coventry Lake  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to listen to Diana Vickers best tune from the twenties  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can i see Love Me Tonight  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear the top 5 Jamie Lidell songs  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Give me an album from 1972 to listen to.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
party of four somewhere in SD  [predicted:  RateBook ; correct:  BookRestaurant ]
Make reservations for me at a taverna in Hong Kong  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to know the temperate from January the twentieth in Brazil  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
rate The Ghost House series a one  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Is it possible to see Riddick at Consolidated Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me the soundtrack Live at the Greek Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find a coffeehouse in Illinois for three  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to eat at a popular diner  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find a TV series called All Time Greatest Movie Songs.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'm looking for the Formula One Championship Edition album  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Will it be foggy in 1 hour and 1 minute from now in OK  [predicted:  RateBook ; correct:  GetWeather ]
find A Tale of Two Cities, a painting  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to the album Magical Girl Lyrical Nanoha StrikerS  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When can I go see The Untold Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play something by grandmaster flash & the furious five on youtube  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
put paula abdul on Musica Española 2017  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
