play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Let me know when I can watch Actrices.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book Bridge Round House for one at meal time in Democratic Republic of the Congo close  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I want to eat in Wallis and Futuna and get a blizzard  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like to hear Don Airey's Gonna Raise Hell  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
rate Mus of Kerbridge a one  [predicted:  GetWeather ; correct:  RateBook ]
Can I get the Butterfly Crush showings  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Plays some akb48 on Youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 04:08:11 AM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a bar for 6 that has stuffed ham and isn't too faraway from Canarsie - Rockaway Parkway on bennington battle day.  [predicted:  RateBook ; correct:  BookRestaurant ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to watch A Storm in the Stars at North American Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play the next ep by Video Game Pianist on netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Give The Fox and the Hound a 1  [predicted:  GetWeather ; correct:  RateBook ]
find The Dead Matter at Speakeasy Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Apocalypse 2024  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give The First Chronicles of Druss the Legend a zero.  [predicted:  GetWeather ; correct:  RateBook ]
Play Still Life 1  [predicted:  GetWeather ; correct:  PlayMusic ]
Is A Tree Grows in Brooklyn playing in one hour  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Start playing something off Spotify  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
Lets go eat in Friday 43 days from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Dipson Theatres with Swiss Army Man at 8 p.m.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What will it be like in six PM at the current place  [predicted:  RateBook ; correct:  GetWeather ]
find an outdoor facility for midday in Datil at a pub for six  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Open youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
ticket for The Perfect Man at Dickinson Theatres at 10 A.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where to buy book Charlie Countryman deve morire  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Reserve in Bermuda a food court near jan and I  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to go to a pizzeria within walking distance of Hutchinson  [predicted:  GetWeather ; correct:  BookRestaurant ]
Search for To Heart 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
For the book Icon of Evil  I rate a 2  [predicted:  BookRestaurant ; correct:  RateBook ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
use Vimeo to play De Camino a Clase playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Lets hear some Dawood Sarkhosh from their The Power Of Your Love album from Groove Shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
My group of seven wants to eat at Yogurt Mountain in Slick tonight.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need Top Gear 2, please search it for me.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I would like an outdoor cafeteria for 3  [predicted:  GetWeather ; correct:  BookRestaurant ]
What theater is playing Death Drums Along the River at 5 PM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
What is Marty Stuart discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up Two More Years soundtrack.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish  [predicted:  GetWeather ; correct:  BookRestaurant ]
Show The Singles Collection Volume 4  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the album Will Rap Over Hard Rock For Food  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What are the current movie schedules?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
forecase for Ohio in twenty one hours and one second  [predicted:  RateBook ; correct:  GetWeather ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play me the trailer for Gainesville Daily Register.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
