b'adicionar objeto'  [predicted:  get ; correct:  add ]
b'Registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'Novo'  [predicted:  get ; correct:  add ]
b'o que eu devo fazer?'  [predicted:  get ; correct:  help ]
b'Muito obrigada'  [predicted:  get ; correct:  thanks ]
b'Registrar'  [predicted:  get ; correct:  add ]
b'adicionar'  [predicted:  get ; correct:  add ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  get ; correct:  help ]
b'Como cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Como cadastrar um objeto?'  [predicted:  get ; correct:  help ]
b'Consultar'  [predicted:  get ; correct:  get ]
b'ok'  [predicted:  get ; correct:  ok ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  get ; correct:  help ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'Novo pacote'  [predicted:  get ; correct:  add ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'\xc3\x93timo!'  [predicted:  get ; correct:  ok ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  get ; correct:  help ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Como cadastra a encomenda'  [predicted:  get ; correct:  help ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'Como?'  [predicted:  get ; correct:  help ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  get ; correct:  help ]
b'Meus objetos'  [predicted:  get ; correct:  get ]
b'pacote'  [predicted:  get ; correct:  add ]
b'adeus'  [predicted:  get ; correct:  bye ]
b'Como cadastra?'  [predicted:  get ; correct:  help ]
TIME:  0.010196924209594727
SCORE:  6 / 30  ( 0.2 )
b'bom dia'  [predicted:  get ; correct:  greeting ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'Rastrear'  [predicted:  get ; correct:  get ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'Como voc\xc3\xaa funciona'  [predicted:  get ; correct:  help ]
b'Tudo bem'  [predicted:  get ; correct:  ok ]
b'sai'  [predicted:  get ; correct:  cancel ]
b'Eu quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Consulta'  [predicted:  get ; correct:  get ]
b'o que eu devo fazer?'  [predicted:  get ; correct:  help ]
b'Todas'  [predicted:  get ; correct:  get ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'Cadastrar'  [predicted:  get ; correct:  add ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
