where is My Song Goes Forth playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the movie CURL  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Welcome to the El-Palacio, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Wish to hear the album Since I Saw You Last  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show the show The Son of Tarzan  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find the movie Everywhere But Home  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Three in the Attic  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when is sunrise in AMerican Samoa  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find Head Start  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
fimd Glory  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play The New Noise Theology E.P.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me Memoirs of Modern Love: Curious Age  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need to see if there will be fog  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I want to hear the new Latin Pop Rising list  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show me the movie Black Summer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Unfinished portrait of General Bonaparte  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is Party All Night  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Live In L.aJoseph Meyer please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be overcast at 18 o'clock in ID  [predicted:  BookRestaurant ; correct:  GetWeather ]
Show me the movie Purple Heart Diary.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to see Breathless  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Get me information on The Riverfront Times  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find The Case of the Frightened Lady.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be nice in Reager MP  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play A Sudden Rainstorm playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to BioRuby  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the song Aap To Aise Na The.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to watch The Utopian Society  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please look for The Pagans at movie house.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where to get the movie Fear of a Black Hat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
is there a Chinese Wikipedia  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
show me the movie Haunted Spooks  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want Sugarfoot  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is the television show Phil Ochs: There but for Fortune playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show the movie Move Any Mountain  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it be stormy not far from ID on 10/2/2021  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
can you put on Like A Hurricane by Paul Landers  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the Fields of Sacrifice movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to see Apartment Hunting.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Cry Baby Lane  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Bernardsville?  [predicted:  PlayMusic ; correct:  GetWeather ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  3076 / 3140  ( 0.9796178343949045 )
Where can I watch Gaddar: The Traitor?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is there rain in Nauru at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
Find the schedule for Ghost World.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Take This Waltz  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Tell me where I can watch Common Law Cabin  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is In Old New Mexico showing today?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find time for Ace of the Saddle  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want Sugarfoot  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Three in the Attic  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Project A Part II playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a SOUNDTRACK FOR STUDY purposes.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What time does Military history of African Americans play  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is Party All Night  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Where can I see Joy of Learning?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
does Mexican Werewolf start at three am  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch May Blossom  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is 楽園追放 -Expelled from Paradise-  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Apocalypse 2024  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Go to BioRuby  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
fimd Glory  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
What time could I see A Mile in His Shoes?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you play the Star Tales album by Colleen?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to eat in Wallis and Futuna and get a blizzard  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Get me information on The Riverfront Times  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
When can I catch a screening of Shivers in Summer?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Mission to Mir  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
