Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking for you to get me Jack of Shadows.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Acreative work with the title At the Cafe Bohemia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Could I download Chavez: Inside the Coup?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Myth II: Soulblighter  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Go to Attack of the Planet Smashers  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Let's hear stuff from Andrew Hewitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like a table at the San Francisco Brewing Company in Puerto Rico at noon  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book a reservation at a restaraunt in CT  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Make me a reservation for elvira and I in Brazil  [predicted:  GetWeather ; correct:  BookRestaurant ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Read The Open Ecology Journal  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I need a table somewhere in Culver City WA  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please fine me Worms Clan Wars.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where is Winterheart’s Guild  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play music on the playlist Electronic Gaming  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play music from the playlist Get Your Mind Right  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
show creative work or Miami Vice Theme  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
me and robin need reservations for somewhere in Palau  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find an art called Cassidy.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to see Plague Soundscapes  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where and when can I see The Image Makers  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Look for the creative work called White Sugar  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What are the current showtimes for Love Fiction?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Do you know of a song by the Mande Studies Association?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play something from my Songs For You, Not Your Parents playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Find the work Compiled fragments 1997-2003  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book a table somewhere in Dominica for 2 minutes from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please play me something by New Wave Of American Heavy Metal  [predicted:  GetWeather ; correct:  PlayMusic ]
I need to book a reservation in Searsport at eleven am  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Is there any creative work for Heterocycles?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
give me a list showtimes for The Night of Taneyamagahara  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play me an album by Lunchbox  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the weather forecast in the country of Chile fifteen hours from now  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find a saga with 0 rating called Poems for Midnight  [predicted:  SearchCreativeWork ; correct:  RateBook ]
find 16 starting time for Heavenly Body  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please get me the work Shirley aviatrice.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Could you locate the work, All the Times I Cried?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play my Electro Sur playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find a work with the name of Come Sing  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like the weather forecast in Gang Mills four years from now.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Please fine me, Ties That Bind.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you please search Ellington at Newport?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you locate the saga for the Ringo Sheena discography  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find and book a table in WV  [predicted:  GetWeather ; correct:  BookRestaurant ]
help me the find the Thug Lordz Trilogy book  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Rest of My Life  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
At 8 AM I want to eat at The Rosebud in the Federated States Of Micronesia  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you help me find the work, The Sperm?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Blind Company  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Start up my Pachangueo Total playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need table for two in Pleasant City  [predicted:  RateBook ; correct:  BookRestaurant ]
I'd like a reservation for Thornbury Castle three hours from now in NM.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Nightbirds on Nantucket soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the music from the playlist Get Lit  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Open the playlist from Sergei Chatschatrjan  [predicted:  GetWeather ; correct:  PlayMusic ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find Three in the Attic  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you locate West Coast Wrestling Connection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the weather prediction for Camdeboo-Nationalpark for jan. eleventh, 2037.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
put four rating on The Raging Quiet  [predicted:  AddToPlaylist ; correct:  RateBook ]
