will it rain today in French Southern Territories of Highland Beach  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it be chilly around Kingsley Common on jan. 9?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is it going to be cloudy in my current spot for dinner?  [predicted:  RateBook ; correct:  GetWeather ]
which day this week will it get chilly in Palmetto, IN  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
What Howards End cinema is near?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
show the movie Move Any Mountain  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Open Lastfm and start playing whatever  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will it feel like on Oct. 21 in KY  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Is it chilly in FM  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What will it feel like on patriot's day on South Georgia and the South Sandwich Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
add Please, Please, Please, Let Me Get What I Want to my crate diggers anonymous  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Will it be warmer at 2 pm at the Ak-Suu Complex Nature Reserve  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where can I find the movie The National Law Review  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to see the current showtimes for His Kind of Woman  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show freezing forcast now within the same area in North Dakota  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is it going to be hotter within walking distance of Ohio on 3/22/2038  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you locate West Coast Wrestling Connection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show me the forecast for Wisconsin  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find the schedule for Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show me the schedule of Dead Snow  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get hotter far away in Afghanistan?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you locate The Crucible of Man: Something Wicked Part 2 novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What does it feel like in East Cove National Wildlife Refuge  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I need a time of 21 minutes from now for here  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will it be overcast at lunch time in Saint Vincent and the Grenadines  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
find Wish You Were Here, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is it going to be chillier in New Mexico this spring?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd give A Man Called Ove a 1  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Can you let me know where I can watch The Nest?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book saga West with the Night a 2  [predicted:  BookRestaurant ; correct:  RateBook ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Give me the showtimes for Sign of the Anchor.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Put the frl menke song in my comedy top tracks  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is The Matinee Idol 06:30 cinema sold out?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it get chillier in Sinclair in 8 hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
rate the book English Grammar In Use a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Find the weather prediction for Camdeboo-Nationalpark for jan. eleventh, 2037.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you get me the Snowman's Land movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look for the Girl in Mirror movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it be hotter in CT at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
I want food in Zaleski  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Can I get the showtimes for Fit for a King?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up The Stars Are Indifferent to Astronomy  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it get cold in Nevada seven weeks and a half from now?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
