I want to listen to an album from Sibel.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find a movie called Emerald City  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will there be a snowstorm in Pomona, New Mexico?  [predicted:  PlayMusic ; correct:  GetWeather ]
Shw the picture Twin Husbands  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me the saga The Party’s Over  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
ad i should have known better to this is bb king  [predicted:  GetWeather ; correct:  AddToPlaylist ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Are there any painting of the 1st Concert Oh Yeah! 1999?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
want to eat somewhere windy in NM  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
put my raining playlist on  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I wish to listen to Gonna Get Along Without Ya Now by Ian Curtis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where can I view the trailer Extreme – The Collection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is The Cave Canem Demos photograph?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you give me weather details for my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Look up the Fair Warning saga  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What films are in the neighborhood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Does the forecast show a storm in Maquoketa, NH around July sixth?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show me the book Playlist: The Very Best of Dolly Parton  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to see the movie Edinburgh Evening News  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to rate The Turbulent Term of Tyke Tiler a 3  [predicted:  BookRestaurant ; correct:  RateBook ]
Will there be a snowstorm in NC 6 years from now  [predicted:  RateBook ; correct:  GetWeather ]
What films start at eighteen at Caribbean Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find the movie Shake Your Spirit  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When will The Honor of an Outlaw be showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me some Last Emperor  [predicted:  GetWeather ; correct:  PlayMusic ]
Will it storm in Charles Pinckney National Historic Site  [predicted:  PlayMusic ; correct:  GetWeather ]
show movie CrossGenesis  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is it like on 7/10/2023 in the current place  [predicted:  RateBook ; correct:  GetWeather ]
Show me a forecast for Malaysia  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
mark this album a score of 5  [predicted:  GetWeather ; correct:  RateBook ]
I'd like to hear Grievance from the Youtube service  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
