this album is the last and rated five  [predicted:  AddToPlaylist ; correct:  RateBook ]
Create a theme station with Jim Creeggan records and collabs  [predicted:  GetWeather ; correct:  PlayMusic ]
rate the book The Scorpio Illusion a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
Please add james house to bleeps & bloops  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I'd like to watch The Utopian Society  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate The Wimpy Kid Movie Diary  saga 4 out of 6  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd rate Days of Blood and Starlight a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
rate this book a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to hear secrets on parade from Tommy Walter  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I'd give A Man Called Ove a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
put live and rare into dancehall official  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Will there be a snowstorm in NC 6 years from now  [predicted:  RateBook ; correct:  GetWeather ]
Take me to the top-rated taverna in Sealy for trattoria next week for 5  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Freud: A Life for Our Time deserves a solid 4  [predicted:  GetWeather ; correct:  RateBook ]
put paula abdul on Musica Española 2017  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I want to see the trailer for No One  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Where can I  get Lahore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch Sherlock Holmes à New York at KB Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The book History by Contract is rated five stars in my opinion.  [predicted:  BookRestaurant ; correct:  RateBook ]
where is Wild America showing at zero P.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Give The Pirates of Manhattan a 1  [predicted:  GetWeather ; correct:  RateBook ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find me Third Man on the Mountain at a cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I give The Logic of Sense a zero  [predicted:  GetWeather ; correct:  RateBook ]
Go to the movie The Best of Pirates of the Mississippi  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to hear a 1976 symphony by Jam Master Jay  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
The Battle for Skies gets a three  [predicted:  GetWeather ; correct:  RateBook ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Add Falling Stars to my Intense Studying  [predicted:  RateBook ; correct:  AddToPlaylist ]
I want to listen to Speed Metal Symphony  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
my jazz for loving couples needs more push the button  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Start up my Pachangueo Total playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please include Emily Remler in Indie Bluegrass  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
add The Go Find to Sólo para dos  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I rate the book Rusty String Quartet a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd say Life in the Iron Mills was a five  [predicted:  GetWeather ; correct:  RateBook ]
play I Could Write A Book  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Vegucated starting at zero pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to something on Youtube  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Rate The Bishop a 1  [predicted:  GetWeather ; correct:  RateBook ]
Find a pub for me in FM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find Mahalakshmi Iyer music on Netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play a trailer for Give It All  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
the next book is worth two  [predicted:  BookRestaurant ; correct:  RateBook ]
Look up Three Fantastic Dances  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can i see the Boat People?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
11 seconds from now find a cinema with First Monday in October  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book The Orchard Book of First Greek Myths a 0  [predicted:  BookRestaurant ; correct:  RateBook ]
Please look for The Pagans at movie house.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to my Spain Top 50 playlist on groove shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Lets take me, cherry and tracie to a Noyack bar  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can my electro sur have this song added to it?  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Put the frl menke song in my comedy top tracks  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want maximilian mutzke added to Acoustic Concentration  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
add repent replenish repeat to Classical Moments in Movies  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find 16 starting time for Heavenly Body  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
add Hot House to Have You Met Miss Jones  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Lets go to the Rainforest Cafe that is in the same area as 135th St  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to listen to Tom Cochrane's 1990 ep on Zvooq.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
my step aunt and I want to go cheese fries at the tavern  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd give The Cricket in Times Square 3 stars  [predicted:  BookRestaurant ; correct:  RateBook ]
this chronicle of The Origins and History of Consciousness is a three  [predicted:  GetWeather ; correct:  RateBook ]
my sons and I want to dine at The Water Club in Georgia  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will there be a blizzard at 2 am in my current place  [predicted:  RateBook ; correct:  GetWeather ]
Put this song on legendary guitar solos  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
The book History of Shit should be rated 2 out of 6.  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to find the book called The Years  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Include Hermann Baumann in my Texas Red Dirt list  [predicted:  GetWeather ; correct:  AddToPlaylist ]
my té para tres needs Brave and Crazy added on.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Give Whispers in the Graveyard a five.  [predicted:  GetWeather ; correct:  RateBook ]
Put the song playing on laverne's rapcaviar playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Include the album by Arthur Rhames in Urban Poet  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Find Merry Arizona 97: Desert Stars Shine at Christmas  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Rate A Taste of Blackberries  a three  [predicted:  GetWeather ; correct:  RateBook ]
I want to hear a soundtrack by dj ozma from the sixties.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
melba and I want to dine in Barbados next Jun.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I want to hear Vegetables by pharrell williams  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Turn on Last Fm  [predicted:  GetWeather ; correct:  PlayMusic ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
therese, clara and I want to go to the Tennessee Ridge  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
rate Awaiting Strange Gods: Weird and Lovecraftian Fictions a 1  [predicted:  GetWeather ; correct:  RateBook ]
Please call and reserve seating for march 6 at a diner in Kyrgyzstan  [predicted:  RateBook ; correct:  BookRestaurant ]
Can you pull up Channel M News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find the novel Playlist: The Very Best of Brad Paisley  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
include pat smear on Guest List Engadget  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Start playing something from Iheart  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
At meal time while I'm here will it be hot?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you get seating for 1 person at a cafeteria in Pauls Crossroads  [predicted:  GetWeather ; correct:  BookRestaurant ]
the following essay is a two  [predicted:  GetWeather ; correct:  RateBook ]
Can this song get added to lunchtime?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
play the Home Is Where the Music Is TV series  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open the playlist from Sergei Chatschatrjan  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
rate the book English Grammar In Use a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Start up my nostalgic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to see showings for The Voice of Merrill at my cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets go to a bistro in SD  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Put this Lidell Townsell track on esenciales  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book PM Park, Clear Lake, Iowa at 5 am for 6 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want global top 50 to have marit bergman added to it.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
