Find a top fifty zahir howaida concerto from the seventies  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can i see the Encounters?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Start up my Pachangueo Total playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to read the book The Minotaur  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rate trailer Geek Chic  [predicted:  RateBook ; correct:  SearchCreativeWork ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the movie White Christmas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to watch Manthan  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
rate tune to my natalie macmaster viajes  [predicted:  RateBook ; correct:  AddToPlaylist ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need to see if there will be fog  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open the playlist from Sergei Chatschatrjan  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the Discografia de The Pretty Reckless saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Plague Soundscapes  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show schedule for Loved by Thousands  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
the next book is worth two  [predicted:  BookRestaurant ; correct:  RateBook ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to watch Supernatural: The Unseen Powers of Animals  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me the show House of Stairs  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Time Squared  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the soundtrack for Nothing Personal.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want the movie Perseo Miranda and his Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to see the book City University of Hong Kong Law Review  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play me the saga The Party’s Over  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I find the movie The National Law Review  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch the movie Godslayer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need to see Cristo in India  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Start playing my Disney playlist.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I want to watch the movie Maxime  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where to get the movie Fear of a Black Hat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to hear the song Daimidaler: Prince vs Penguin Empire  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see the book The Royal Thousand  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Is it cloudy in the same area of Lynn Shore Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Go to the movie Welcome to Tokyo  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find me the book My People Were Fair and Had Sky in Their Hair… But Now They’re Content to Wear Stars on Their Brows  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Once Upon a Time in the West  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show fog conditions at 7 am in NH  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where is Winterheart’s Guild  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me the song Aap To Aise Na The.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to watch the movie X Window Display Manager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
show schedule for Cin cin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play The New Noise Theology E.P.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Create a theme station with Jim Creeggan records and collabs  [predicted:  GetWeather ; correct:  PlayMusic ]
Play Elizeth Cardoso to my Nothing But A Party R&B playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me Memoirs of Modern Love: Curious Age  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the Baldur’s Gate II: Throne of Bhaal saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to play the game The Celestial Hawk  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show cloud forcast in 1 hour in IA  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want watch The Sun And The Moon  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to watch Strange Brother  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find five points called The Origins of Virtue  [predicted:  SearchCreativeWork ; correct:  RateBook ]
play the game Piety Street  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Go to The Devil in the Deal:50 Secrets to Successful Dealmaking  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch Miss Congeniality  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you pull up the American Music Awards of 1975  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
get me House of Stairs  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd say Life in the Iron Mills was a five  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Play The Great Adventures of Slick Rick game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you locate West Coast Wrestling Connection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book of Two for the Road  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
