Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Are there any films around here  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to read the book Between a Rock and a Hard Place  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What movies are in the neighbourhood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
please give a 2 out of 6 to House of Many Ways  [predicted:  BookRestaurant ; correct:  RateBook ]
what films are at Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I view the picture of Workin’ with the Miles Davis Quintet  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find me showtimes for A Christmas Story starting at eleven o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is High Spirits playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Johnstown Flood playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book The Orchard Book of First Greek Myths a 0  [predicted:  BookRestaurant ; correct:  RateBook ]
Rate The Bell Curve a three.  [predicted:  GetWeather ; correct:  RateBook ]
I want to see the book, The Mailroom: Hollywood History from the Bottom Up  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is Party All Night  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking for the hit album, The Politics of Dancing.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Give The Phantom Ship a zero.  [predicted:  GetWeather ; correct:  RateBook ]
Can you search the book, Paris - When It Sizzles?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Is F.I.S.T. at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate the My Beloved World saga a one  [predicted:  BookRestaurant ; correct:  RateBook ]
Play the best 1981 sound track from Ric Fierabracci  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find a TV series called All Time Greatest Movie Songs.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Buy Cannabis painting  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please search for the Drop-In song.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is The Ghost Breakers playing at Plitt Theatres in two hours  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When can I watch Alice: A True Story at AMC Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to play the video game ESPN Major League Soccer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time is Cabin Fever: Spring Fever playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time is Company Men showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me the Message from God saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look for the album Slave to the Grind  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When can I catch a screening of Shivers in Summer?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you find me the novel, Literacy?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
where can I watch Mabel’s Dramatic Career at twenty two o'clock  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I see the album SWAT Force?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Plau me the song The French Chef  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is The Singing Nun at Regal Entertainment Group  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When is the next showing of Star Wars: The Clone Wars?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I purchase Paradise Tonight online?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is Fast and Loose playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
