b'pacote'  [predicted:  ok ; correct:  add ]
b'para'  [predicted:  ok ; correct:  cancel ]
b'Como funciona'  [predicted:  ok ; correct:  help ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Ajuda'  [predicted:  ok ; correct:  help ]
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
b'caralho'  [predicted:  ok ; correct:  bad ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'descadastrar'  [predicted:  ok ; correct:  delete ]
b'Apagar'  [predicted:  ok ; correct:  delete ]
b'\xc3\x93timo!'  [predicted:  ok ; correct:  ok ]
b'o que eu devo fazer?'  [predicted:  help ; correct:  help ]
b'deletar'  [predicted:  ok ; correct:  delete ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'cancelar'  [predicted:  ok ; correct:  cancel ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  ok ; correct:  help ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  ok ; correct:  bad ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Novo'  [predicted:  ok ; correct:  add ]
b'Beleza'  [predicted:  ok ; correct:  ok ]
b'parar'  [predicted:  ok ; correct:  cancel ]
b'cancela'  [predicted:  ok ; correct:  cancel ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  ok ; correct:  help ]
b'Gostaria de registrar'  [predicted:  delete ; correct:  add ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  ok ; correct:  help ]
TIME:  0.03281092643737793
SCORE:  11 / 30  ( 0.36666666666666664 )
b'Registrar'  [predicted:  ok ; correct:  add ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Lista'  [predicted:  ok ; correct:  get ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'Remover'  [predicted:  ok ; correct:  delete ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  saymyname ; correct:  saymyname ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Como funciona'  [predicted:  ok ; correct:  help ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  add ; correct:  help ]
b'sair'  [predicted:  ok ; correct:  cancel ]
b'Listar'  [predicted:  ok ; correct:  get ]
b'tchau'  [predicted:  ok ; correct:  bye ]
b'Retirar'  [predicted:  ok ; correct:  delete ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Tudo bem, tchau'  [predicted:  ok ; correct:  bye ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Cadastrar uma nova encomenda'  [predicted:  add ; correct:  add ]
b'cad\xc3\xaa'  [predicted:  ok ; correct:  get ]
b'Visualizar rastreamento'  [predicted:  ok ; correct:  get ]
b'Vai tomar no cu'  [predicted:  ok ; correct:  bad ]
b'cad\xc3\xaa minha encomenda'  [predicted:  get ; correct:  get ]
b'sai'  [predicted:  ok ; correct:  cancel ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
