When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Reserve a table in Top of the Mark Lambertville, Vermont.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need to add to my Infinite Indie Folk list the works of Rahim Shah  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like the weather forecast in Gang Mills four years from now.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
what will the weather be for Hooksett  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
when can i see Red Hot Tires  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I get The Marine 2 showtimes.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Nightbirds on Nantucket soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play music by artist mark ashley  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Show me the Dresden weather forecast.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like a reservation for Thornbury Castle three hours from now in NM.  [predicted:  GetWeather ; correct:  BookRestaurant ]
play If You Go  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Make me a reservation for elvira and I in Brazil  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I watch The Sword of Ali Baba at two p.m.?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a reservation at a restaraunt in CT  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play music in the genre soundtrack  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to watch Take This Waltz  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show animated movie at Century Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is there a program about The Last Flight?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What is the temperate in Beltsville  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I need a table at somewhere within walking distance of NV on november the 24th, 2027  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to watch Fist of the North Star 1 minute from now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find National Amusements with Honey, I Shrunk the Kids  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book Main Deli Steak House on february 13 in Serbia and Montenegro  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want global top 50 to have marit bergman added to it.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What's it feel like in North Gulfport  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to watch Monk Comes Down the Mountain  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
