Vai tomar no cu  [predicted:  get ; correct:  bad ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Você pode rastrear um objeto para mim?  [predicted:  help ; correct:  get ]
Cadastro  [predicted:  get ; correct:  add ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  help ; correct:  add ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  help ; correct:  ok ]
SCORE:  13 / 30  ( 0.43333333333333335 )
descadastrar  [predicted:  get ; correct:  delete ]
adicionar  [predicted:  get ; correct:  add ]
adeus  [predicted:  get ; correct:  bye ]
Tudo bem  [predicted:  help ; correct:  ok ]
caralho  [predicted:  get ; correct:  bad ]
Burro  [predicted:  get ; correct:  bad ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Olá  [predicted:  get ; correct:  welcome ]
cancela  [predicted:  get ; correct:  cancel ]
adicionar objeto  [predicted:  get ; correct:  add ]
Como?  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
bom dia  [predicted:  get ; correct:  greeting ]
pacote  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Ótimo!  [predicted:  get ; correct:  ok ]
Até mais  [predicted:  get ; correct:  bye ]
Até logo  [predicted:  get ; correct:  bye ]
cancelar  [predicted:  get ; correct:  cancel ]
Cadastrar  [predicted:  help ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
SCORE:  6 / 30  ( 0.2 )
tchau  [predicted:  get ; correct:  bye ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Não  [predicted:  get ; correct:  cancel ]
Remover  [predicted:  get ; correct:  delete ]
Como funciona  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
Como?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  get ; correct:  ok ]
Retirar  [predicted:  get ; correct:  delete ]
sair  [predicted:  get ; correct:  cancel ]
sai  [predicted:  get ; correct:  cancel ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
adeus  [predicted:  get ; correct:  bye ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
SCORE:  3 / 30  ( 0.1 )
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Olá robô  [predicted:  get ; correct:  welcome ]
boa noite  [predicted:  get ; correct:  greeting ]
boa tarde  [predicted:  get ; correct:  greeting ]
Como funciona  [predicted:  get ; correct:  help ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
Ótimo!  [predicted:  get ; correct:  ok ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
