b'Tudo bem'  [predicted:  help ; correct:  ok ]
b'Vai tomar no cu'  [predicted:  help ; correct:  bad ]
b'Todas'  [predicted:  help ; correct:  get ]
b'cad\xc3\xaa'  [predicted:  help ; correct:  get ]
b'Onde esta a minha encomenda'  [predicted:  help ; correct:  get ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  help ; correct:  help ]
b'Cadastrar uma nova encomenda'  [predicted:  help ; correct:  add ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  help ; correct:  get ]
b'Chega q dia?'  [predicted:  help ; correct:  get ]
b'Tudo bem, tchau'  [predicted:  help ; correct:  bye ]
b'boa tarde'  [predicted:  help ; correct:  greeting ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  help ; correct:  greeting ]
b'Novo'  [predicted:  help ; correct:  add ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  help ; correct:  get ]
b'Novo pacote'  [predicted:  help ; correct:  add ]
b'o que eu devo fazer?'  [predicted:  help ; correct:  help ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  help ; correct:  get ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'C\xc3\xb3digo'  [predicted:  help ; correct:  get ]
b'boa noite'  [predicted:  help ; correct:  greeting ]
b'Todos'  [predicted:  help ; correct:  get ]
b'Registrar uma encomenda'  [predicted:  help ; correct:  add ]
b'Registrar'  [predicted:  help ; correct:  add ]
b'Gostaria de registrar uma encomenda'  [predicted:  help ; correct:  add ]
b'Visualizar rastreamento'  [predicted:  help ; correct:  get ]
b'cad\xc3\xaa minha encomenda'  [predicted:  help ; correct:  get ]
b'gostaria de procurar um objeto'  [predicted:  help ; correct:  get ]
b'Quero registrar uma encomenda'  [predicted:  help ; correct:  add ]
b'Gostaria de registrar'  [predicted:  help ; correct:  add ]
TIME:  0.36996912956237793
SCORE:  4 / 30  ( 0.13333333333333333 )
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  get ; correct:  help ]
b'descadastrar'  [predicted:  get ; correct:  delete ]
b'adicionar'  [predicted:  get ; correct:  add ]
b'Cadastrar encomenda'  [predicted:  get ; correct:  add ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'Obrigada'  [predicted:  get ; correct:  thanks ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'como sou avisado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'ok'  [predicted:  get ; correct:  ok ]
b'Listar'  [predicted:  get ; correct:  get ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  get ; correct:  help ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  get ; correct:  help ]
b'como sou notificado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'adicionar um novo pacote'  [predicted:  get ; correct:  add ]
b'Obrigado'  [predicted:  get ; correct:  thanks ]
b'oi'  [predicted:  get ; correct:  welcome ]
b'Como cadastrar um objeto?'  [predicted:  get ; correct:  help ]
b'adicionar objeto'  [predicted:  get ; correct:  add ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  get ; correct:  add ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'adeus'  [predicted:  get ; correct:  bye ]
b'Lista'  [predicted:  get ; correct:  get ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Cadastro'  [predicted:  get ; correct:  add ]
b'Como cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'Como eu fa\xc3\xa7o?'  [predicted:  get ; correct:  help ]
b'deletar'  [predicted:  get ; correct:  delete ]
TIME:  0.43761205673217773
SCORE:  3 / 30  ( 0.1 )
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  get ; correct:  help ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'Como cadastra?'  [predicted:  get ; correct:  help ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'descadastrar'  [predicted:  get ; correct:  delete ]
b'Me ajuda'  [predicted:  get ; correct:  help ]
b'Como?'  [predicted:  get ; correct:  help ]
b'Rastrear'  [predicted:  get ; correct:  get ]
b'Tudo bem, tchau'  [predicted:  get ; correct:  bye ]
b'deletar'  [predicted:  get ; correct:  delete ]
b'Como cadastro?'  [predicted:  get ; correct:  help ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'Lista'  [predicted:  get ; correct:  get ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'Como cadastra a encomenda'  [predicted:  get ; correct:  help ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'Como cadastro uma encomenda?'  [predicted:  get ; correct:  help ]
b'ok'  [predicted:  get ; correct:  ok ]
b'Listar'  [predicted:  get ; correct:  get ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
TIME:  0.4373588562011719
SCORE:  10 / 30  ( 0.3333333333333333 )
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'adicionar'  [predicted:  get ; correct:  add ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  get ; correct:  help ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'\xc3\x93timo!'  [predicted:  get ; correct:  ok ]
b'Como funciona'  [predicted:  help ; correct:  help ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Todos'  [predicted:  get ; correct:  get ]
b'Me ajuda'  [predicted:  get ; correct:  help ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'adicionar objeto'  [predicted:  get ; correct:  add ]
b'Todas'  [predicted:  get ; correct:  get ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Eu quero cadastrar uma encomenda'  [predicted:  help ; correct:  add ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  help ; correct:  help ]
b'Tudo bem'  [predicted:  get ; correct:  ok ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
