show cloud forcast in 1 hour in IA  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find me showtimes for How I Unleashed World War II.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please add james house to bleeps & bloops  [predicted:  GetWeather ; correct:  AddToPlaylist ]
add an album called Reggae BBQ in playlist Camu Tao  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
ticket for The Perfect Man at Dickinson Theatres at 10 A.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What will the weather be a nine in Willow River State Park?  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to go see The Trouble with Girls  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I get The Marine 2 showtimes.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Elizeth Cardoso to my Nothing But A Party R&B playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I need a table somewhere in Culver City WA  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please add Pop Punk Powerhouses by Valeri Leontjev to my play list  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Please look for Catch a Falling Star  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
my indietronic playlist needs until the end of time added  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Need to see Mother Joan of the Angels in one second.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
is Tomorrow at Dawn at Harkins Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Put the joy division the complete bbc recordings on 40 hits  [predicted:  GetWeather ; correct:  AddToPlaylist ]
put four rating on The Raging Quiet  [predicted:  AddToPlaylist ; correct:  RateBook ]
When and where can I see A Film with Me in It  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to hear anything from the Rock Symphonique genre please.  [predicted:  GetWeather ; correct:  PlayMusic ]
Play me the song Aap To Aise Na The.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please check the weather forecast near supper time here.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Open the playlist from Sergei Chatschatrjan  [predicted:  GetWeather ; correct:  PlayMusic ]
Where is White Bim Black Ear  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When will So Happy Together begin playing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
in one hour find King of Hearts  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you find me, Hey Man?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Need the creative work called The Logic of Scientific Discovery  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Pull up Sweeney Todd - Il diabolico barbiere di Fleet Street  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need to find the creative work Burn Baby Burn  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to eat somewhere that is faraway from Iowa.  [predicted:  GetWeather ; correct:  BookRestaurant ]
find animated movie at Landmark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show fog conditions at 7 am in NH  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Please look for Orion You Came and You Took All My Marbles  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you get a table at The Triple Door in District Of Columbia for me and deborah vasquez  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play video game Manifesto of Nevermore  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When and where can I watch National Priority?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What is the cheapest price I can pay for the DVD called The Darkest Cloud?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up and find me Monty Python Live at the Hollywood Bowl.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Let's hear stuff from Andrew Hewitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
Where can I find a copy of I Bury the Living?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
