onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Como cadastra?  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
Novo pacote  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
De que vc precisa?  [predicted:  get ; correct:  help ]
SCORE:  11 / 30  ( 0.36666666666666664 )
cancela  [predicted:  get ; correct:  cancel ]
adicionar objeto  [predicted:  get ; correct:  add ]
caralho  [predicted:  get ; correct:  bad ]
pacote  [predicted:  get ; correct:  add ]
sair  [predicted:  get ; correct:  cancel ]
para  [predicted:  get ; correct:  cancel ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Ótimo!  [predicted:  get ; correct:  ok ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
parar  [predicted:  get ; correct:  cancel ]
adicionar  [predicted:  get ; correct:  add ]
tchau  [predicted:  get ; correct:  bye ]
cancelar  [predicted:  help ; correct:  cancel ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
adeus  [predicted:  get ; correct:  bye ]
SCORE:  7 / 30  ( 0.23333333333333334 )
parar  [predicted:  get ; correct:  cancel ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
descadastrar  [predicted:  get ; correct:  delete ]
para  [predicted:  get ; correct:  cancel ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
deletar  [predicted:  get ; correct:  delete ]
boa tarde  [predicted:  get ; correct:  greeting ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Beleza  [predicted:  get ; correct:  ok ]
boa noite  [predicted:  get ; correct:  greeting ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Apagar  [predicted:  get ; correct:  delete ]
Ajuda  [predicted:  get ; correct:  help ]
Informação  [predicted:  get ; correct:  help ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
Visualizar rastreamento  [predicted:  help ; correct:  get ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
Tudo bem  [predicted:  help ; correct:  ok ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  help ; correct:  add ]
ok  [predicted:  help ; correct:  ok ]
Quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
Todos  [predicted:  help ; correct:  get ]
Olá robô  [predicted:  help ; correct:  welcome ]
cadê  [predicted:  help ; correct:  get ]
cancelar  [predicted:  help ; correct:  cancel ]
Quero ver meus produtos  [predicted:  help ; correct:  get ]
Olá  [predicted:  help ; correct:  welcome ]
Rastrear  [predicted:  help ; correct:  get ]
Rastrear encomenda  [predicted:  help ; correct:  get ]
adicionar objeto  [predicted:  help ; correct:  add ]
cancela  [predicted:  help ; correct:  cancel ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Vai tomar no cu  [predicted:  help ; correct:  bad ]
caralho  [predicted:  help ; correct:  bad ]
adeus  [predicted:  help ; correct:  bye ]
adicionar  [predicted:  help ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
Tudo bem, tchau  [predicted:  help ; correct:  bye ]
Todas  [predicted:  help ; correct:  get ]
Você pode rastrear um objeto para mim?  [predicted:  help ; correct:  get ]
SCORE:  1 / 30  ( 0.03333333333333333 )
Meus itens  [predicted:  help ; correct:  get ]
