Tudo bem  [predicted:  get ; correct:  ok ]
Novo  [predicted:  get ; correct:  add ]
Não  [predicted:  get ; correct:  cancel ]
ok  [predicted:  get ; correct:  ok ]
Novo pacote  [predicted:  get ; correct:  add ]
sai  [predicted:  get ; correct:  cancel ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
sair  [predicted:  get ; correct:  cancel ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
tenha um bom dia  [predicted:  get ; correct:  greeting ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
deletar  [predicted:  get ; correct:  delete ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
quem é você?  [predicted:  get ; correct:  saymyname ]
descadastrar  [predicted:  get ; correct:  delete ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Remover  [predicted:  get ; correct:  delete ]
Retirar  [predicted:  get ; correct:  delete ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
tchau  [predicted:  get ; correct:  bye ]
Olá  [predicted:  get ; correct:  welcome ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Me ajuda  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
Novo pacote  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  get ; correct:  ok ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Listar comandos  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
boa noite  [predicted:  get ; correct:  greeting ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
boa tarde  [predicted:  get ; correct:  greeting ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
SCORE:  4 / 30  ( 0.13333333333333333 )
Tudo bem  [predicted:  get ; correct:  ok ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Legal! Mas onde está minha encomenda?  [predicted:  help ; correct:  get ]
Listar comandos  [predicted:  get ; correct:  help ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Ótimo!  [predicted:  get ; correct:  ok ]
Me ajuda  [predicted:  get ; correct:  help ]
