b'boa noite'  [predicted:  greeting ; correct:  greeting ]
b'Encomenda'  [predicted:  delete ; correct:  get ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'Todas'  [predicted:  thanks ; correct:  get ]
b'Vai tomar no cu'  [predicted:  thanks ; correct:  bad ]
b'Tudo bem'  [predicted:  thanks ; correct:  ok ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'o que eu devo fazer?'  [predicted:  get ; correct:  help ]
b'Tudo bem, tchau'  [predicted:  thanks ; correct:  bye ]
b'tchau'  [predicted:  thanks ; correct:  bye ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
b'Entrega'  [predicted:  thanks ; correct:  get ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  greeting ; correct:  greeting ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'sair'  [predicted:  thanks ; correct:  cancel ]
b'Consultar'  [predicted:  thanks ; correct:  get ]
b'Novo'  [predicted:  add ; correct:  add ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  help ; correct:  help ]
b'Todos'  [predicted:  thanks ; correct:  get ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'boa tarde'  [predicted:  greeting ; correct:  greeting ]
b'consultar minha encomenda'  [predicted:  delete ; correct:  get ]
b'De que vc precisa?'  [predicted:  thanks ; correct:  help ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Ajuda'  [predicted:  help ; correct:  help ]
b'Beleza'  [predicted:  thanks ; correct:  ok ]
b'Gostaria de fazer um cadastro'  [predicted:  help ; correct:  add ]
b'Apagar'  [predicted:  thanks ; correct:  delete ]
TIME:  0.026223182678222656
SCORE:  13 / 30  ( 0.43333333333333335 )
b'bom dia'  [predicted:  greeting ; correct:  greeting ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Como eu fa\xc3\xa7o?'  [predicted:  help ; correct:  help ]
b'cad\xc3\xaa'  [predicted:  saymyname ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  add ; correct:  get ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  add ; correct:  get ]
b'Burro'  [predicted:  saymyname ; correct:  bad ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  delete ; correct:  cancel ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Rastrear encomenda'  [predicted:  add ; correct:  get ]
b'Tudo bem'  [predicted:  ok ; correct:  ok ]
b'Cadastrar'  [predicted:  add ; correct:  add ]
b'Chega q dia?'  [predicted:  greeting ; correct:  get ]
b'Todas'  [predicted:  get ; correct:  get ]
b'Rastrear'  [predicted:  add ; correct:  get ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  saymyname ; correct:  bad ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'N\xc3\xa3o'  [predicted:  saymyname ; correct:  cancel ]
b'C\xc3\xb3digo'  [predicted:  add ; correct:  get ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  help ; correct:  get ]
b'Muito obrigado'  [predicted:  thanks ; correct:  thanks ]
b'Tudo bem, tchau'  [predicted:  ok ; correct:  bye ]
b'Cadastrar uma nova encomenda'  [predicted:  add ; correct:  add ]
b'Vai tomar no cu'  [predicted:  saymyname ; correct:  bad ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'cad\xc3\xaa minha encomenda'  [predicted:  delete ; correct:  get ]
b'Todos'  [predicted:  get ; correct:  get ]
TIME:  0.025796890258789062
SCORE:  14 / 30  ( 0.4666666666666667 )
b'oi'  [predicted:  saymyname ; correct:  welcome ]
b'Consulta'  [predicted:  get ; correct:  get ]
b'Cadastrar encomenda'  [predicted:  add ; correct:  add ]
b'Muito obrigada'  [predicted:  saymyname ; correct:  thanks ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'J\xc3\xa1 cadastrou?'  [predicted:  saymyname ; correct:  get ]
b'J\xc3\xa1 se moveu?'  [predicted:  saymyname ; correct:  get ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Gostaria de retirar'  [predicted:  delete ; correct:  delete ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Obrigada'  [predicted:  saymyname ; correct:  thanks ]
b'Meus objetos'  [predicted:  saymyname ; correct:  get ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'adeus'  [predicted:  bye ; correct:  bye ]
b'cad\xc3\xaa minha encomenda'  [predicted:  cancel ; correct:  get ]
b'cad\xc3\xaa'  [predicted:  saymyname ; correct:  get ]
b'Gostaria de retirar uma encomenda'  [predicted:  add ; correct:  delete ]
b'Como voc\xc3\xaa funciona'  [predicted:  help ; correct:  help ]
b'adicionar objeto'  [predicted:  add ; correct:  add ]
b'Cadastro'  [predicted:  add ; correct:  add ]
b'Cadastrar uma nova encomenda'  [predicted:  add ; correct:  add ]
b'sair'  [predicted:  saymyname ; correct:  cancel ]
b'Obrigado'  [predicted:  thanks ; correct:  thanks ]
b'adicionar'  [predicted:  add ; correct:  add ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  add ; correct:  add ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'tchau'  [predicted:  bye ; correct:  bye ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  saymyname ; correct:  help ]
TIME:  0.023293256759643555
SCORE:  18 / 30  ( 0.6 )
b'ok'  [predicted:  saymyname ; correct:  ok ]
b'Vai tomar no cu'  [predicted:  bad ; correct:  bad ]
b'boa tarde'  [predicted:  saymyname ; correct:  greeting ]
b'Muito obrigado'  [predicted:  thanks ; correct:  thanks ]
b'N\xc3\xa3o'  [predicted:  bad ; correct:  cancel ]
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  bad ; correct:  welcome ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  add ; correct:  get ]
b'Como cadastro minha encomenda?'  [predicted:  add ; correct:  help ]
b'boa noite'  [predicted:  saymyname ; correct:  greeting ]
b'Quero rastrear uma encomenda'  [predicted:  add ; correct:  get ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  delete ; correct:  cancel ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Como cadastro uma encomenda?'  [predicted:  add ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'Rastrear encomenda'  [predicted:  add ; correct:  get ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  saymyname ; correct:  greeting ]
b'Tudo bem, tchau'  [predicted:  bye ; correct:  bye ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'J\xc3\xa1 cadastrou?'  [predicted:  saymyname ; correct:  get ]
b'Rastrear'  [predicted:  add ; correct:  get ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'Como funciona'  [predicted:  help ; correct:  help ]
b'Como cadastro?'  [predicted:  add ; correct:  help ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  help ; correct:  help ]
b'J\xc3\xa1 se moveu?'  [predicted:  saymyname ; correct:  get ]
TIME:  0.027081966400146484
SCORE:  10 / 30  ( 0.3333333333333333 )
b'sai'  [predicted:  saymyname ; correct:  cancel ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'Obrigada'  [predicted:  saymyname ; correct:  thanks ]
b'sair'  [predicted:  saymyname ; correct:  cancel ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'tenha um bom dia'  [predicted:  get ; correct:  greeting ]
b'bom dia'  [predicted:  get ; correct:  greeting ]
b'Remover'  [predicted:  saymyname ; correct:  delete ]
b'Muito obrigado'  [predicted:  saymyname ; correct:  thanks ]
b'J\xc3\xa1 cadastrou?'  [predicted:  get ; correct:  get ]
b'Cadastrar'  [predicted:  add ; correct:  add ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'J\xc3\xa1 se moveu?'  [predicted:  get ; correct:  get ]
b'N\xc3\xa3o'  [predicted:  bad ; correct:  cancel ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Obrigado'  [predicted:  saymyname ; correct:  thanks ]
b'Burro'  [predicted:  saymyname ; correct:  bad ]
b'Meus objetos'  [predicted:  saymyname ; correct:  get ]
b'tchau'  [predicted:  bye ; correct:  bye ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
b'Consulta'  [predicted:  saymyname ; correct:  get ]
b'Como voc\xc3\xaa funciona'  [predicted:  help ; correct:  help ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  delete ; correct:  cancel ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Retirar'  [predicted:  delete ; correct:  delete ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  help ; correct:  help ]
b'oi'  [predicted:  saymyname ; correct:  welcome ]
b'Muito obrigada'  [predicted:  saymyname ; correct:  thanks ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  saymyname ; correct:  saymyname ]
TIME:  0.022085189819335938
SCORE:  14 / 30  ( 0.4666666666666667 )
b'Meus objetos'  [predicted:  saymyname ; correct:  get ]
b'Muito obrigada'  [predicted:  thanks ; correct:  thanks ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'Rastrear'  [predicted:  add ; correct:  get ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  get ; correct:  get ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Gostaria de fazer um cadastro'  [predicted:  add ; correct:  add ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Gostaria de retirar'  [predicted:  delete ; correct:  delete ]
b'Quero rastrear uma encomenda'  [predicted:  add ; correct:  get ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'caralho'  [predicted:  saymyname ; correct:  bad ]
b'Consulta'  [predicted:  saymyname ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'Como voc\xc3\xaa funciona'  [predicted:  help ; correct:  help ]
b'Encomenda'  [predicted:  cancel ; correct:  get ]
b'cancela'  [predicted:  saymyname ; correct:  cancel ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  bad ; correct:  bad ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Rastrear encomenda'  [predicted:  add ; correct:  get ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Gostaria de retirar uma encomenda'  [predicted:  add ; correct:  delete ]
b'Quero fazer um rastreamento'  [predicted:  get ; correct:  get ]
b'cancelar'  [predicted:  saymyname ; correct:  cancel ]
b'Entrega'  [predicted:  saymyname ; correct:  get ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
TIME:  0.026694297790527344
SCORE:  16 / 30  ( 0.5333333333333333 )
b'Novo'  [predicted:  add ; correct:  add ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'Remover'  [predicted:  thanks ; correct:  delete ]
b'Como cadastro uma encomenda?'  [predicted:  add ; correct:  help ]
b'para'  [predicted:  thanks ; correct:  cancel ]
b'Beleza'  [predicted:  thanks ; correct:  ok ]
b'Como cadastro minha encomenda?'  [predicted:  add ; correct:  help ]
b'o que eu devo fazer?'  [predicted:  add ; correct:  help ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'Consulta'  [predicted:  thanks ; correct:  get ]
b'Gostaria de retirar uma encomenda'  [predicted:  add ; correct:  delete ]
b'sai'  [predicted:  thanks ; correct:  cancel ]
b'Encomenda'  [predicted:  cancel ; correct:  get ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Como voc\xc3\xaa funciona'  [predicted:  help ; correct:  help ]
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Ajuda'  [predicted:  help ; correct:  help ]
b'Entrega'  [predicted:  thanks ; correct:  get ]
b'Apagar'  [predicted:  thanks ; correct:  delete ]
b'\xc3\x93timo!'  [predicted:  ok ; correct:  ok ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  saymyname ; correct:  bad ]
b'Gostaria de retirar'  [predicted:  add ; correct:  delete ]
b'pacote'  [predicted:  add ; correct:  add ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'parar'  [predicted:  thanks ; correct:  cancel ]
b'Como cadastro?'  [predicted:  add ; correct:  help ]
b'Retirar'  [predicted:  thanks ; correct:  delete ]
b'Novo pacote'  [predicted:  add ; correct:  add ]
TIME:  0.02456974983215332
SCORE:  11 / 30  ( 0.36666666666666664 )
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Chega q dia?'  [predicted:  greeting ; correct:  get ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  saymyname ; correct:  bad ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  add ; correct:  help ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
