Show me KurdishMedia.com  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Tujiko Noriko's Ten Years And Running.  [predicted:  GetWeather ; correct:  PlayMusic ]
Add Der K und K Kalypso aus Wien to vonda's playlist Pura Vida  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play Water Under The Bridge by Hariprasad Chaurasia.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What type of movie  is Houston Press?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show An Actress for the newest album.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Add daigo to indietronic  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Go to After Dusk They Come  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play This Is: Animal Collective please  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play Baby Workout  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add richard sohl to dinner for 2  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
Play the soundtrack that Tom Bellamy contributed to  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Rei Momo newest album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to see Completely Well  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the Putrefactive Infestation trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find a picture called Nuclear Blast All Stars: Out of the Dark.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish  [predicted:  GetWeather ; correct:  BookRestaurant ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play sugar baby by frank beard  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to see Sex Tape - Finiti in rete  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Trauma Center: New Blood, an album  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Show me the movie Sonic Triple Trouble  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the album a kiss before you go by Bt  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find the movie CURL  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
warmer condition in Haiti, South Otselic  [predicted:  BookRestaurant ; correct:  GetWeather ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
what is the close by Greenland forecast  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
find Tortured Man  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a time of 21 minutes from now for here  [predicted:  BookRestaurant ; correct:  GetWeather ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play POP GOES THE 80s.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
is Cape Mount Nature Conservation Unit has storm weather  [predicted:  PlayMusic ; correct:  GetWeather ]
Is The Missing Clerk playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play tribal  [predicted:  RateBook ; correct:  PlayMusic ]
find Carry me in your dreams  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play Spotify  [predicted:  RateBook ; correct:  PlayMusic ]
