find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Angry Birds Movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I purchase the saga The Second Life of Samuel Tyne  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open Lastfm and start playing whatever  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
painting of Live from the El Rey Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
search for movie Turn Back the Clock  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you get seating for 1 person at a cafeteria in Pauls Crossroads  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is the current selling price of the novel The Sims 3: Island Paradise?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I want to the latest ballad from Ira Losco  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find book In the Valley  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'm looking for a movement by Asim Brkan that's on Netflix best channel  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Pull up Mafia: The City of Lost Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to see the book, The Mailroom: Hollywood History from the Bottom Up  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find the schedule for Stacey.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Look up The Collection Volume One novel  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Find the schedule for Success.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Look for the album Slave to the Grind  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to watch Supernatural: The Unseen Powers of Animals  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What time does Kraken: Tentacles of the Deep play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
