Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
parar  [predicted:  get ; correct:  cancel ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
para  [predicted:  get ; correct:  cancel ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Gostaria de retirar uma encomenda  [predicted:  get ; correct:  delete ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Novo  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
Novo pacote  [predicted:  get ; correct:  add ]
Gostaria de uma informação  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Tudo bem  [predicted:  get ; correct:  ok ]
SCORE:  6 / 30  ( 0.2 )
De que vc precisa?  [predicted:  get ; correct:  help ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
adicionar  [predicted:  get ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
boa tarde  [predicted:  get ; correct:  greeting ]
adicionar objeto  [predicted:  get ; correct:  add ]
adeus  [predicted:  get ; correct:  bye ]
Como funciona  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Gostaria de registrar uma encomenda  [predicted:  help ; correct:  add ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Não  [predicted:  get ; correct:  cancel ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
boa noite  [predicted:  get ; correct:  greeting ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Cadastrar  [predicted:  get ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
SCORE:  8 / 30  ( 0.26666666666666666 )
descadastrar  [predicted:  get ; correct:  delete ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Ótimo!  [predicted:  get ; correct:  ok ]
sai  [predicted:  get ; correct:  cancel ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Remover  [predicted:  get ; correct:  delete ]
Como?  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Retirar  [predicted:  get ; correct:  delete ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
deletar  [predicted:  get ; correct:  delete ]
De que vc precisa?  [predicted:  get ; correct:  help ]
